image,sentiment,ocr_text,target,emotion
6733.jpg,negative,"Mentally healthy me buying food that
requires prep and attentive cooking
knowing that depressed me is gonna
starve
M
",3,sadness
559.jpeg,positive,"when you pay for one coke
but the vending machine drops 2
I did not ask for this. I was chosen.
",2,joy
2261.jpeg,positive,"Friend: ""Let's go grab something
to eat.""
Me: ""But I'm broke.""
Friend: ""Did I ask if you had
any money?""
",2,joy
5623.jpg,positive,"When a game has ""and you."" in
the special thanks section of the
credits
的心
矩。
定定途中
毛呢准在4正正
“”会
定作也尼尔市心
",2,joy
7592.jpg,negative,"SERIOUSLY ITS WEDNESDAY_OMGM
MY PENDING WORKESITI
HAPPY
WEDNESDAY FRIEND'S
imgflip.com
",0,fear
7019.jpg,negative,"Literally anyone: Hey, can I ask you
something?
Me:
[inner panic attack ]
",0,fear
2462.png,negative,"THIS COFFEE IS DISGUSTING
KILL EVERYBODY
",5,disgust
3209.jpeg,negative,"a king: is too rich
france:
So, no head?
",1,anger
6213.jpg,positive,"When you only have 1 item in line at the
grocery store and the person in front of
you lets you go ahead of them.
You are a good man. Thank you
",2,joy
4668.jpeg,positive,"How I sleep knowing music is good and I
can listen to more of it tomorrow
3
",2,joy
1392.jpg,negative,"THE WAY I FEEL WHEN...
PEOPLE TALK ABOUT A SPORTING
EVENT AS IF IT ACTUALLY MATTERED.
imgflip.com
",1,anger
2299.jpeg,negative,"when I check I fridge for the 8th
time and there still isn't any new
food in it
",3,sadness
141.jpg,positive,"When you make a nice painting and
your parents hang it up and you feel
nice
HC
",2,joy
8963.jpeg,negative,"When you show your
favourite meme to friends
And they don't even smile
I have decided that I want to die.
",3,sadness
8467.jpeg,negative,"Me looking at my phone waiting for it
to stop ringing so I can get back to
what I was doing
",1,anger
2337.jpeg,negative,"HOORAY INDEED
",1,anger
6757.jpg,negative,"TEARS BEING PAIN TO OTHERS
BUT A FALSE SMILE BRINGS PAIN
TO YOURSELF@dogesrevenge
",3,sadness
4235.jpg,negative,"Random article: ""here are 50
reasons to not commit suicide""
Me:
I see through the lies of the Jedi!
made with mematic
",3,sadness
5880.jpg,negative,"Me inside my dream
dancing to my alarm
going off for 30 minutes
RO
",3,sadness
4527.jpg,negative,"They always ask ""who's a good boy""
never ""hows the good boy""
",3,sadness
6737.jpeg,negative,"12 y/o me: Creating the perfect family in
the sims, while my parents argue in the
living room
",3,sadness
2117.jpeg,negative,"STOP IT NOW
YOU'RE MAKING ME CRY
",3,sadness
2691.jpeg,negative,"I sir.
am disgusted.
Space-Cow.com
",5,disgust
6600.jpg,negative,"YOU EXPECT ME TO
ACTANOTHER MOVIE!
WHO DO YOU THINK I AM? AN APE?
imgflip.com
",1,anger
7635.jpg,negative,"YELLOW:COMES INTO
MED BAY WHILE IM DOING A TASK
ME:
imelip.com
",0,fear
5467.png,negative,"Your mom told you it was just baby fat
and you'll grow out of it, but you 33
years old and just lookin at her like
",1,anger
1460.jpg,positive,"Me when I'm alone and
the voice in my head
says something funny
insta:
@sadidas
",2,joy
2214.jpeg,negative,"COME ON INNER PEACE
I DON'T HAVE ALL DAY
TIL
",1,anger
2704.jpeg,positive,"Me two minutes after cuddling with
my Husband
made with mematic
",2,joy
3930.jpeg,negative,"ME, WHEN I SEE A SPIDER ...
RUNNING ACROSS THE FLOOR!
ICANHASCHERZBURGER.COM
",0,fear
5304.jpg,negative,"My therapist: Meditation will help your
anxiety
Me, having a panic attack whilst meditating
because I forgot how to breathe:
OS
225
sugeal
So that was a fucking lie.
",3,sadness
9655.jpeg,negative,"When The DJ
Drops Your Jam
",3,sadness
4753.jpg,negative,"WHEN YOUR MOM
SPEEDS UP A LITTLE
W
*COCONUT MALL
MUSIC INCREASES*
imgflip.com
",3,sadness
8162.jpeg,negative,"Took at me
when Im talking to you
",1,anger
4021.jpeg,negative,"Minor inconvenience:*happens
Me:
V]
SO, LETS LEARN HOW TO TIE A NOOSE
",3,sadness
8349.jpeg,negative,"When you listening to your
favourite song and you waiting
for the verse to start
",1,anger
1288.jpeg,negative,"When your manager asks
if you're busy tomorrow
Why!
",4,surprise
5813.jpg,positive,"When somebody asks you to let them
know you made it home safely
",2,joy
1536.jpeg,negative,"when the person you don't like breathes
",1,anger
908.jpeg,negative,"MUTHA FUCKERS REALLY BE
THINKING I CAN'T
LIVE WITHOUT THEM
BITCH, IS YOUR
NAME OXYGEN?
ALEKS
",1,anger
2338.jpeg,positive,"PROUD OF YOU
I AM
",2,joy
9719.jpeg,negative,"When the doctor informs you that
your girlfriend has testicular cancer
",3,sadness
9471.jpeg,negative,"me trying to fix my rapidly deteriorating
mental heath
3
",3,sadness
7433.jpg,neutral,"AS THE
CORONAVIRUS COMES TO YOU
SUPRISED
imgflip.com
",4,surprise
9645.jpeg,negative,"Growing UpUgly being the one
who gets handed the camera to
take a group photo
",3,sadness
3049.jpeg,positive,"When someone gives you
a compliment:
",2,joy
2177.jpeg,positive,"How it feels when someone
says you have a nice smile
",2,joy
9357.jpeg,negative,"brain: we are sad today
me: why?
brain:
ROUND 1
I SAID WE ARE SAD TODAY
",3,sadness
9380.jpg,negative,"Me: Yea I'm little sad but it's ok I'm fine
Friend: you wanna tal...
Me:
",3,sadness
4182.jpg,negative,"When someone tries to hurt
your feelings but you've been
dead inside for years
@M
",3,sadness
